"","t_3_3_12","t_3_5_5","t_3_5_21","t_3_6_17","t_3_7_2","t_3_8_14","t_3_9_18","t_3_10_22","t_3_11_12","t_3_12_16","t_4_2_19","t_4_3_17","t_4_4_22","t_4_5_19","t_4_6_17","t_4_7_14","t_4_8_25","t_4_9_22","t_4_10_14","t_4_11_17","t_4_12_15","t_5_1_19","t_5_2_16","t_5_3_16","t_5_4_20","t_5_5_4","t_5_5_11","t_5_6_14","t_5_7_19","t_5_8_17","t_5_9_15","t_5_10_20","t_5_11_17","t_5_12_13","t_6_1_18","t_6_2_22","t_6_3_29","t_6_4_19","t_6_6_20","t_6_7_25","t_6_8_24","t_6_9_13","t_6_10_15","t_7_2_14","t_7_4_4","t_7_5_21","t_7_6_NA","t_7_8_NA","t_7_9_20","t_7_11_14","t_7_12_17","t_8_3_19","t_8_4_22","t_8_5_14","t_8_6_18","t_8_7_9","t_8_8_20","t_8_9_22","t_8_10_20","t_8_11_20","t_8_12_11","t_9_2_18","t_9_3_11","t_9_4_23","t_9_5_13","t_9_6_18","t_9_7_9","t_9_8_19","t_9_9_24","t_9_10_22","t_9_11_12","t_9_12_23","t_10_1_28","t_10_2_11","t_10_3_24","t_10_4_27","t_10_5_17","t_10_6_29","t_10_7_21","t_10_8_11","t_10_9_15","t_10_10_21","t_10_11_23","t_10_12_16","t_11_1_11"
"5_ARISA_392.9",0,na,0,0,0,na,0.000469019698827351,0.000116006728390247,na,na,0,0,0,0,0,0,0.000308016940931751,0.000529030154718819,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0.00185108700108905,na,0,0,0.000378019278983228,0.000551030857728033,0,0.00065603017738816,0,0.000214512870772246,na,na,na,na,na,na,na,na,0,0,0.000130008840601161,0.000438023653277277,0,0,0,0.000154010780754653,0,0,na,0,na,0,0,0,0,0.00063401775249707,0,na,na,0,0,0,0,0,0,na,0,0,na,0,0,0,0
"5_ARISA_399.1",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0.0249611482128178,0,na,0.000290022041675167,0,0,0,0,0.000601027647271774,0,0.000343520611236674,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0.000639053680509163,na,0,na,0,0,0,0,0.000535014980419452,0,na,na,0.00141708644227298,0,0,0,0,0,na,0.000608027361231255,0,na,0,0,0,0
"5_ARISA_400.2",0.000436027033676088,na,0,0.000392019600980049,0,na,0,0,na,na,0.000458025191385526,0.000557031750809796,0.000698030015290658,0.000584030953640543,0.000410027471840613,0.00161807928588501,0.000164009020496127,0.000367020920192451,0.000641031410539116,0.000972050546628425,0.000317015216730403,na,na,0,0,na,0,na,na,na,0,0.0181428345703902,0,na,0.00151511514875131,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0,na,0,0,0,0,0,0,na,na,0,0.000347024291700419,0,0.000948049298563525,0.00302407560189005,0.0031181153702687,na,0.0022120995444795,0,na,0,0,0,0.000782039884034086
"5_ARISA_401.5",0.00227914130676102,na,0,0.00650532526626331,0.0198939549098357,na,0,0.0179840430744983,na,na,0.00316117386456255,0.00792945197876279,0.00653628106008558,0.0104345530313107,0.0194523033043214,0.0146587182771956,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0.0211819531878935,0.0387927844680855,0,na,0,0,0.000683034834776574,0.00138807773235301,0,0,0,0,na,na,na,na,na,na,na,na,0.0250462022177065,0.0304533704016681,0.00205313961349372,0.0111586025645385,0.00593530270043772,0.052348512728611,0.0931975666807674,0,0,0.00716660199456754,na,0.00726032671470216,na,0,0,0,0.0285608278929852,0,0,na,na,0,0,0.00939071369424076,0.00518126942601015,0.00819820495512388,0.0115054257007509,na,0.0103454655459496,0.043014451823754,na,0.0111465015925717,0,0.0272836370182211,0
"5_ARISA_402.4",0.00635639409643398,na,0,0,0,na,0.0744551271153388,0.0235363651091763,na,na,0,0.00714840745922518,0,0,0,0,0.0753381435978979,0.113877491016988,0.033455639326327,0.0556388932224476,0.0364907515560747,na,na,0.00741840801244068,0,na,0.000254010160406416,na,na,na,0.0309033906525794,0,0.107002029095367,na,0.000539040967113501,0.0414112362067552,0.000387019738006638,0.000504028225580633,0,0.113791234396782,0.0515083693849917,0.0607006420385223,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0.0554371066100512,0.0103878725812968,na,0.0052532363956378,na,0,0,0.0848636675017126,0,0.0601756849191777,0.00308424057076452,na,na,0.0332290269706452,0.0197273809166642,0.00705653629675855,0.00697836287486949,0.0100492512312808,0.00498018426681787,na,0.00430419368871599,0,na,0.0182808226370187,0,0,0
"5_ARISA_403.1",0,na,0,0,0,na,0,0,na,na,0.000581031956757622,0,0.00295312698446033,0,0,0.004657228204182,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0,0,0.000434022135128892,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0.00246911110999995,na,0,0,0,0,0,0,na,na,0,0,0,0,0,0.000499018463683156,na,0.000989044507002815,0,na,0,0,0,0
"5_ARISA_403.8",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0,0,na,0.000431032758489645,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,na,0.00126205679255567,na,0,0,0,0,0,0,na,na,0.00279217032238967,0.00110507735541488,0,0.00073903842999836,0.00126903172579314,0,na,0,0,na,0,0,0,0
"5_ARISA_404.8",0,na,0,0,0,na,0,0.000242014036814135,na,na,0,0,0,0,0,0,0,0,0,0,0,na,na,0,0,na,0,na,na,na,0,0.0031001426065599,0,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0.000161013525136111,na,0,na,0,0,0.00066003630199661,0,0.00257807218602121,0,na,na,0.00440926896540689,0.00172812096846779,0.000447033974582068,0.00124106453535584,0.00225105627640691,0,na,0,0.000499028444621343,na,0,0,0,0
"5_ARISA_405.6",0,na,0,0,0,na,0,0,na,na,0,0,0,0,0,0,0,0,0.000363017787871606,0,0,na,na,0,0,na,0,na,na,na,0.000400018000810036,0.00235610838098553,0,na,0,0.000947051140761601,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0.000397033350801467,na,0.000188008460380717,na,0,0,0.000488026841476281,0,0.0022470629177617,0,na,na,0.00180611017272054,0.00109307651535607,0.000406030858345234,0.000934048570525667,0.00166004150103753,0.00055802064676393,na,0,0.00022101259771807,na,0,0,0,0
"5_ARISA_406.7",0,na,0,0,0,na,0.0016450690929019,0.00111906490576453,na,na,0,0,0,0,0,0,0.000903049667731725,0,0,0.000795041342149792,0.00087104181000688,na,na,0,0,na,0,na,na,na,0,0.00570226230406599,0.00524424647958454,na,0,0.000316017064921506,0,0,0,0.000672030913422017,0.00124405722663243,0.00154259255555333,na,na,na,na,na,na,na,na,0,0,0,0.000119006426347023,0,0,0.00260412760225251,0.000187013090916364,0.000748028425080153,0.00035803007452626,na,0,na,0,0,0.000555030526678967,0,0.00537415047621333,0,na,na,0.00171110437736702,0.000413028912023842,0.000503038230905549,0.00142207394784529,0.00154003850096252,0,na,0,0,na,0,0,0,0
